"CONTEXT", "ID", "TEXT"
"traveler:WATCH_BUYER0","Sell it to me.","Sell it to me."
"traveler:WATCH_BUYER0","@It is held for someone.","@It is held for someone."
"traveler:WATCH_BUYER0","Give me break.","Give me break."
"traveler:WATCH_BUYER0","For sure he is not coming back.","For sure he is not coming back."
"traveler:WATCH_BUYER0","Let me take it off your hands.","Let me take it off your hands."
"traveler:WATCH_BUYER0","10 credits for it.","10 credits for it."
"traveler:WATCH_BUYER0","Ah!","Ah!"
"traveler:WATCH_BUYER0","All digital!","All digital!"
"traveler:WATCH_BUYER0","Is very nice.","Is very nice."
"traveler:WATCH_BUYER1","That watch.~","That watch.~"
"traveler:WATCH_BUYER1","Guy behind me in line would not shut up about it.","Guy behind me in line would not shut up about it."
"traveler:WATCH_BUYER1","On and on about how important is to family.~","On and on about how important is to family.~"
"traveler:WATCH_BUYER1","Look.","Look."
"traveler:WATCH_BUYER1","Is good watch, I can see.","Is good watch, I can see."
"traveler:WATCH_BUYER1","I give you 20 credits for it right now.","I give you 20 credits for it right now."
"traveler:WATCH_BUYER1","He say he pay you back only 10 credits.","He say he pay you back only 10 credits."
"traveler:WATCH_BUYER1","Is good deal here I offer you.","Is good deal here I offer you."
"traveler:WATCH_BUYER1","Ah!","Ah!"
"traveler:WATCH_BUYER1","All digital!","All digital!"
"traveler:WATCH_BUYER1","Is very nice.","Is very nice."
"traveler:WATCH_GIVER1","As promised, I am back with right papers now.","As promised, I am back with right papers now."
"traveler:WATCH_GIVER1","You have my watch?","You have my watch?"
"traveler:WATCH_GIVER1","Arstotzkan bastard.","Arstotzkan bastard."
"traveler:WATCH_GIVER1","I was to give you nice reward.","I was to give you nice reward."
"traveler:WATCH_GIVER1","Ah she is beautiful!","Ah she is beautiful!"
"traveler:WATCH_GIVER1","Here.","Here."
"traveler:WATCH_GIVER1","Now I just need battery.","Now I just need battery."
"traveler:WATCH_GIVER1","Hey!","Hey!"
"traveler:WATCH_GIVER1","There is new scratch here!","There is new scratch here!"
"traveler:WATCH_GIVER1","Give money back!","Give money back!"
"traveler:WATCH_GIVER1","Wow. You are pretty honest person.","Wow. You are pretty honest person."
"traveler:WATCH_GIVER1","You know, I cannot take this.","You know, I cannot take this."
"traveler:WATCH_GIVER1","Scratch was there before actually.","Scratch was there before actually."
"traveler:WATCH_GIVER1","Thank you.","Thank you."
"traveler:WATCH_GIVER1","Now please give watch back.","Now please give watch back."
"traveler:WATCH_GIVER1","I start to think maybe all Arstotzkans are not so bad.","I start to think maybe all Arstotzkans are not so bad."
"traveler:WATCH_GIVER1","Ah forget it.","Ah forget it."
"traveler:WATCH_GIVER1","You keep money.","You keep money."
"traveler:WATCH_GIVER1","But all papers are good!","But all papers are good!"
"traveler:WATCH_GIVER1","Are you blind?","Are you blind?"
"traveler:WATCH_GIVER1","Fine.","Fine."
"traveler:WATCH_GIVER1","Give watch back.","Give watch back."
"traveler:WATCH_GIVER1","You crook!","You crook!"
"traveler:WATCH_GIVER1","All Arsotzkans are same.","All Arsotzkans are same."
"traveler:WATCH_GIVER1","Liars and cheats!","Liars and cheats!"
"traveler:WATCH_GIVER1","I will not leave without watch.","I will not leave without watch."
"traveler:WATCH_GIVER1","Is expensive gift from cousin!","Is expensive gift from cousin!"
"traveler:WATCH_GIVER1","Only needs new battery.","Only needs new battery."
"traveler:WATCH_GIVER1","Tell guards to keep away.","Tell guards to keep away."
"traveler:WATCH_GIVER1","Give back my watch!","Give back my watch!"
"traveler:WATCH_GIVER1","I will not leave without money.","I will not leave without money."
"traveler:WATCH_GIVER1","You ruin my good watch.","You ruin my good watch."
"traveler:WATCH_GIVER1","Give back my money!","Give back my money!"
"traveler:WATCH_GIVER1","Where is my watch?","Where is my watch?"
"traveler:WATCH_GIVER1","@I sold it.","@I sold it."
"traveler:WATCH_GIVER1","What!","What!"
"traveler:WATCH_GIVER1","I give you watch to hold.","I give you watch to hold."
"traveler:WATCH_GIVER1","Put trust in you!","Put trust in you!"
"traveler:WATCH_GIVER1","Watch was gift from cousin.","Watch was gift from cousin."
"traveler:WATCH_GIVER1","I hope you got good money for it.","I hope you got good money for it."
"traveler:WATCH_GIVER1","Damn Arstotzkan crook.","Damn Arstotzkan crook."
"traveler:ARSKICKER0","Hey man.","Hey man."
"traveler:ARSKICKER0","I lost id card.","I lost id card."
"traveler:ARSKICKER0","I think someone stole it from locker room.","I think someone stole it from locker room."
"traveler:ARSKICKER0","But we won match!","But we won match!"
"traveler:ARSKICKER0","Can't wait to get home.~","Can't wait to get home.~"
"traveler:ARSKICKER0","I have carried this for years, maybe you take it.","I have carried this for years, maybe you take it."
"traveler:ARSKICKER0","@Your Arstotzkan id card is missing.","@Your Arstotzkan id card is missing."
"traveler:ARSKICKER0","I know man. I told you.","I know man. I told you."
"traveler:ARSKICKER0","It was stolen.","It was stolen."
"traveler:ARSKICKER0","C'mon let me through.","C'mon let me through."
"traveler:ARSKICKER0","Thanks bud, is good to be home!","Thanks bud, is good to be home!"
"traveler:ARSKICKER0","Hey bullshit!","Hey bullshit!"
"traveler:ARSKICKER0","I gave you pennant even!","I gave you pennant even!"
"traveler:ARSKICKER0","Gonna tell coach about this crap.","Gonna tell coach about this crap."
"traveler:ARSKICKER1","Hi again.","Hi again."
"traveler:ARSKICKER1","Remember me?","Remember me?"
"traveler:ARSKICKER1","Go Arskickers!","Go Arskickers!"
"traveler:ARSKICKER1","I give you that great banner.~","I give you that great banner.~"
"traveler:ARSKICKER1","Listen, I tell my coach about this.","Listen, I tell my coach about this."
"traveler:ARSKICKER1","He get very upset.","He get very upset."
"traveler:ARSKICKER1","Say if I do not get banner back, I lose front seat on team bus.~","Say if I do not get banner back, I lose front seat on team bus.~"
"traveler:ARSKICKER1","All seats good, but front seat definitely best.","All seats good, but front seat definitely best."
"traveler:ARSKICKER1","So I really just need banner back.","So I really just need banner back."
"traveler:ARSKICKER1","What you say?","What you say?"
"traveler:ARSKICKER1","Lousy fan!","Lousy fan!"
"traveler:ARSKICKER1","Ah thanks!","Ah thanks!"
"traveler:ARSKICKER1","Do not forget to root for us!","Do not forget to root for us!"
"traveler:ARSKICKER1","Ah good.","Ah good."
"traveler:ARSKICKER1","It is more beaten up than I remember.","It is more beaten up than I remember."
"traveler:ARSKICKER1","Even there is big tear here.","Even there is big tear here."
"traveler:ARSKICKER1","What did you do?","What did you do?"
"traveler:ARSKICKER1","Oh well. Coach should be happy.","Oh well. Coach should be happy."
"traveler:ARSKICKER1","Alright that is great yeah.","Alright that is great yeah."
"traveler:ARSKICKER1","But where is banner?","But where is banner?"
"traveler:ARSKICKER1","Thanks bud!","Thanks bud!"
"traveler:ARSKICKER1","Do not forget to root for us at regionals.","Do not forget to root for us at regionals."
"traveler:ARSKICKER1","Ok. Well.","Ok. Well."
"traveler:ARSKICKER1","That is messed up.","That is messed up."
"traveler:ARSKICKER1","At least you give banner back right?","At least you give banner back right?"
"traveler:ARSKICKER1","At least you give banner back.","At least you give banner back."
"traveler:ARSKICKER1","@The banner is mine now.","@The banner is mine now."
"traveler:ARSKICKER1","Oh boy.","Oh boy."
"traveler:ARSKICKER1","Such an asshole here.","Such an asshole here."
"traveler:ARSKICKER1","If guards do not kill me, coach will.","If guards do not kill me, coach will."
"traveler:BUSTED_SPY","I have not much time.","I have not much time."
"traveler:BUSTED_SPY","You must hold on to these.","You must hold on to these."
"traveler:BUSTED_SPY","Keep them safe today.","Keep them safe today."
"traveler:BUSTED_SPY","I am being followed by an imposter.","I am being followed by an imposter."
"traveler:BUSTED_SPY","They pretend to be from the Ministry of Information but it is a lie.","They pretend to be from the Ministry of Information but it is a lie."
"traveler:BUSTED_SPY","If they ask for documents, give these instead.","If they ask for documents, give these instead."
"traveler:BUSTED_SPY","Do not mix them up.","Do not mix them up."
"traveler:BUSTED_SPY_FOLLOWER","@Your papers?","@Your papers?"
"traveler:BUSTED_SPY_FOLLOWER","I am from the Ministry of Information.","I am from the Ministry of Information."
"traveler:BUSTED_SPY_FOLLOWER","You have something to give us.","You have something to give us."
"traveler:BUSTED_SPY_FOLLOWER","Perfect.","Perfect."
"traveler:GYM_INSTRUCTOR","You are skin and bones.","You are skin and bones."
"traveler:GYM_INSTRUCTOR","Bet you have no real strength.","Bet you have no real strength."
"traveler:GYM_INSTRUCTOR","Come to gym, I make you big.","Come to gym, I make you big."
"traveler:GYM_INSTRUCTOR","I guarantee you get big at Get Big Town.","I guarantee you get big at Get Big Town."
"traveler:GYM_INSTRUCTOR","Is what we do.","Is what we do."
"traveler:GYM_INSTRUCTOR","Denied? Hah.","Denied? Hah."
"traveler:GYM_INSTRUCTOR","This is what I expect from skinny weakling.","This is what I expect from skinny weakling."
"traveler:OLD_INSPECTOR","I used to be an inspector like you.","I used to be an inspector like you."
"traveler:OLD_INSPECTOR","Many years ago. Back in United Fed.~","Many years ago. Back in United Fed.~"
"traveler:OLD_INSPECTOR","We denied most people.~","We denied most people.~"
"traveler:OLD_INSPECTOR","It is all done by computers now.","It is all done by computers now."
"traveler:OLD_INSPECTOR","They can deny much faster that way.","They can deny much faster that way."
"traveler:OLD_INSPECTOR","Good luck.","Good luck."
"traveler:OLD_INSPECTOR","I do not miss it.","I do not miss it."
"traveler:OLD_INSPECTOR","What? Why am I denied?~","What? Why am I denied?~"
"traveler:OLD_INSPECTOR","So this is what it feels like.~","So this is what it feels like.~"
"traveler:OLD_INSPECTOR","@Where is entry permit?","@Where is entry permit?"
"traveler:OLD_INSPECTOR","Eh, it does not matter what I say.","Eh, it does not matter what I say."
"traveler:OLD_INSPECTOR","Just deny the visa and I will go.","Just deny the visa and I will go."
"traveler:RED_STAMP","Red stamp.","Red stamp."
"traveler:RED_STAMP","@What?","@What?"
"traveler:RED_STAMP","Give me red stamp.","Give me red stamp."
"traveler:RED_STAMP","I am serious.","I am serious."
"traveler:RED_STAMP","I have better job offer in Impor.","I have better job offer in Impor."
"traveler:RED_STAMP","Red stamp and I can break contract in Arstotzka.","Red stamp and I can break contract in Arstotzka."
"traveler:RED_STAMP","10 credits for you.","10 credits for you."
"traveler:RED_STAMP","Damn it.","Damn it."
"traveler:RED_STAMP","I am sure you deny people all day.","I am sure you deny people all day."
"traveler:RED_STAMP","Why not now?","Why not now?"
"traveler:RED_STAMP","I figure something else out.","I figure something else out."
"traveler:RED_STAMP","Ok, now I get free from this bad job.","Ok, now I get free from this bad job."
"traveler:RED_STAMP","Thanks.","Thanks."
"traveler:NEED_SURGERY","I come for medical reasons.","I come for medical reasons."
"traveler:NEED_SURGERY","@Your papers are missing.","@Your papers are missing."
"traveler:NEED_SURGERY","Please.","Please."
"traveler:NEED_SURGERY","Surgery I need is outlawed in Kolechia.","Surgery I need is outlawed in Kolechia."
"traveler:NEED_SURGERY","Even so, I do not trust doctors there.","Even so, I do not trust doctors there."
"traveler:NEED_SURGERY","Only Arstotzka have skilled surgeons.","Only Arstotzka have skilled surgeons."
"traveler:NEED_SURGERY","@You do not have the right documents.","@You do not have the right documents."
"traveler:NEED_SURGERY","Yes.","Yes."
"traveler:NEED_SURGERY","They will not give papers for surgery.","They will not give papers for surgery."
"traveler:NEED_SURGERY","Thank you. I will not forget this.","Thank you. I will not forget this."
"traveler:NEED_SURGERY","I expected this.","I expected this."
"traveler:NEED_SURGERY","I do not know how long I survive.","I do not know how long I survive."
"traveler:NEED_SURGERY","But you do not care.~","But you do not care.~"
"traveler:NEED_SURGERY","I hope you are not in same place as me.","I hope you are not in same place as me."
"traveler:LOVE_SONG","I will leave this here.","I will leave this here."
"traveler:LOVE_SONG","Great!","Great!"
"traveler:LOVE_SONG","You really super guy!~","You really super guy!~"
"traveler:LOVE_SONG","Can I have note back now?","Can I have note back now?"
"traveler:LOVE_SONG","I need it for next inspector.","I need it for next inspector."
"traveler:LOVE_SONG","But I give you such lovely note!","But I give you such lovely note!"
"traveler:LOVE_SONG","Thanks and like I say, you super guy.","Thanks and like I say, you super guy."
"traveler:LOVE_SONG","Do not forget.","Do not forget."
"traveler:LOVE_SONG","Is too much?","Is too much?"
"traveler:LOVE_SONG","@Yes.","@Yes."
"traveler:LOVE_SONG","Is too much. I can see that now.","Is too much. I can see that now."
"traveler:LOVE_SONG","Next time I make couple copies first.","Next time I make couple copies first."
"traveler:LOVE_SONG_LONELY","Life sucks.","Life sucks."
"traveler:LOVE_SONG_LONELY","Nobody loves me.","Nobody loves me."
"traveler:LOVE_SONG_LONELY","For me?","For me?"
"traveler:LOVE_SONG_LONELY","Like fire?","Like fire?"
"traveler:LOVE_SONG_LONELY","Object of desire?","Object of desire?"
"traveler:LOVE_SONG_LONELY","Wow, nobody say such nice things!","Wow, nobody say such nice things!"
"traveler:LOVE_SONG_LONELY","Part about visa is confusing but rest is very powerful.","Part about visa is confusing but rest is very powerful."
"traveler:LOVE_SONG_LONELY","Thank you!","Thank you!"
"traveler:LOVE_SONG_LONELY","Thank you again!","Thank you again!"
"traveler:LOVE_SONG_LONELY","Thanks I guess.","Thanks I guess."
"traveler:LOVE_SONG_LONELY","No problem!","No problem!"
"traveler:LOVE_SONG_LONELY","Today is good day anyway!","Today is good day anyway!"
"traveler:LOVE_SONG_LONELY","Even you hate me.","Even you hate me."
"traveler:LOVE_SONG_LONELY","Some guy I do not even know.","Some guy I do not even know."
"traveler:KOLECHIAN_HATER","It was a mistake to open this checkpoint.",".ﺊﻃﺎﺧ ﻚﺸﻜﻟﺍ ﺍﺬﻫ ﺢﺘﻓ ﻥﺎﻛ"
"traveler:FINALLY_RETURN_HOME","Finally I can return home.",".ﻱﺭﺎﻳﺩ ﻰﻟﺇ ﺓﺩﻮﻌﻟﺍ ﻲﻨﻨﻜﻤﻳ ﺍﺮﻳﺧﺃ"
"traveler:FINALLY_RETURN_HOME","You bastard.",".ﺪﻏﻮﻟﺍ ﺎﻬﻳﺃ"
"traveler:FINALLY_RETURN_HOME","Thank you.",".ﻚﻟ ﺍﺮﻜﺷ"
"traveler:SMALL_CHECKPOINT","This checkpoint is smaller than I expected.",".ﻊﻗﻮﺗﺃ ﺖﻨﻛ ﺎﻤﻣ ﺮﻐﺻﺃ ﻚﺸﻜﻟﺍ ﺍﺬﻫ"
"traveler:WAITED_FOREVER","I have waited in this damn line since for 8 hours.","ﻦﻴﻌﻠﻟﺍ ﺭﻮﺑﺎﻄﻟﺍ ﺍﺬﻫ ﻲﻓ ﺕﺮﻈﺘﻧﺍ
.ﺕﺎﻋﺎﺳ 8 ﺓﺪﻤﻟ"
"traveler:WAITED_FOREVER","I hope it was worth it.",".ﺀﺎﻨﻌﻟﺍ ﻖﺤﺘﺳﺍ ﺪﻗ ﺮﻣﻷﺍ ﻥﻮﻜﻳ ﻥﺃ ﻞﻣﺁ"
"traveler:WAITED_FOREVER","Unbelievable. Go to hell.",".ﻢﻴﺤﺠﻟﺍ ﻰﻟﺇ ﺐﻫﺫﺍ .ﻕﺪﺼﻳ ﻻ"
"traveler:HURRY_UP","Hurry up.",".ﻉﺮﺳﺃ"
"traveler:HURRY_UP","I am meeting bus soon.",".ﺎﻘﺣﻻ ﺔﻠﻓﺎﺤﻟﺎﺑ ﻲﻘﺘﻟﺄﺳ"
"traveler:HURRY_UP","What is this?","؟ﺍﺬﻫ ﺎﻣ"
"traveler:HURRY_UP","Finally.",".ﺍﺮﻴﺧﺍ"
"traveler:GLAD_YOU_HAVE_JOB","I heard about terrorist attack.",".ﻲﺑﺎﻫﺭﻹﺍ ﻡﻮﺠﻬﻟﺍ ﻦﻋ ﺖﻌﻤﺳ"
"traveler:GLAD_YOU_HAVE_JOB","You are lucky to have a job still.",".ﺔﻔﻴﻇﻭ ﻚﻠﻤﺗ ﺖﻟﺯ ﺎﻣ ﻚﻧﺃ ﻅﻮﻈﺤﻣ"
"traveler:GLAD_YOU_HAVE_JOB","Be safe.",".ﺍﺭﺬﺣ ﻦﻛ"
"traveler:TICKET_NOT_PERMIT","What? I do not know. To visit?","؟ﺓﺭﺎﻳﺰﻠﻟ .ﻑﺮﻋﺃ ﻻ ؟ﺍﺫﺎﻣ"
"traveler:TICKET_NOT_PERMIT","A few days maybe.",".ﻡﺎﻳﺃ ﺔﻌﻀﺑ ﺎﻤﺑﺭ"
"traveler:TICKET_NOT_PERMIT","Entry permit? I have ticket here.",".ﺎﻨﻫ ﺓﺮﻛﺬﺗ ﻱﺪﻟ ؟ﻝﻮﺧﺪﻟﺍ ﺢﻳﺮﺼﺗ"
"traveler:TICKET_NOT_PERMIT","Let me through.",".ﺮﻣﺃ ﻲﻨﻋﺩ"
"traveler:TICKET_NOT_PERMIT","@Ticket is not enough any more.","@.ﺔﻴﻓﺎﻛ ﺪﻌﺗ ﻢﻟ ﺓﺮﻛﺬﺘﻟﺍ"
"traveler:TICKET_NOT_PERMIT","@Get a permit.","@.ﻝﻮﺧﺪﻟﺍ ﺢﻳﺮﺼﺗ ﻰﻠﻋ ﻞﺼﺣﺍ"
"traveler:TICKET_NOT_PERMIT","Bullshit!","!ﺀﺍﺮﻫ"
"traveler:TICKET_NOT_PERMIT","I paid good money for ticket.",".ﺓﺮﻛﺬﺘﻟﺍ ﻞﺑﺎﻘﻣ ًﺍﺮﻴﺒﻛ ًﺎﻐﻠﺒﻣ ﺖﻌﻓﺩ"
"traveler:VISIT_SON","I am so happy that the border has opened.",".ﺩﻭﺪﺤﻟﺍ ﺢﺘﻔﺑ ﺔﻳﺎﻐﻠﻟ ﺪﻴﻌﺳ ﺎﻧﺃ"
"traveler:VISIT_SON","I will visit my son. I have not seen him in six years. [Speech/Purpose]",".ﺕﺍﻮﻨﺳ ﺖﺳ ﺬﻨﻣ ﻩﺭﺃ ﻢﻟ .ﻲﻨﺑﺍ ﺭﻭﺯﺄﺳ [Speech/Purpose]"
"traveler:VISIT_SON","6 months. [Speech/Duration]",".ﺮﻬﺷﺃ ﺔﺘﺳ [Speech/Duration]"
"traveler:VISIT_SON","Please, let me pass. My son is waiting.",".ﻲﻧﺮﻈﺘﻨﻳ ﻲﻨﺑﺍ .ﺮﺒﻋﺃ ﻲﻨﻋﺩ ،ﻙﻮﺟﺭﺃ"
"traveler:VISIT_SON","Thank you.",".ﻚﻟ ﺍﺮﻜﺷ"
"traveler:VISIT_SON","Curse you.",".ﻚﻴﻠﻋ ﺔﻨﻌﻠﻟﺍ"
"traveler:DETAIN_FIRST","Hey wait.",".ﺮﻈﺘﻧﺍ ،ﻼﻬﻣ"
"traveler:DETAIN_FIRST","Do not arrest me, please.",".ﻙﻮﺟﺭﺃ ،ﻲﻨﻠﻘﺘﻌﺗ ﻻ"
"traveler:DETAIN_FIRST","Just deny my passport and I will go away.",".ﻞﺣﺭﺄﺳﻭ ﻱﺮﻔﺳ ﺯﺍﻮﺟ ﺾﻓﺭﺍ ﻂﻘﻓ"
"traveler:HATE_COUNTRY","It is not my choice. I hate this damn country.","It is not my choice. I hate this damn country."
"traveler:HATE_COUNTRY","I am just passing through. [Speech/Purpose]","I am just passing through. [Speech/Purpose]"
"traveler:HATE_COUNTRY","As little as possible. 2 days. [Speech/Duration]","As little as possible. 2 days. [Speech/Duration]"
"traveler:HATE_COUNTRY","Ugh.","Ugh."
"traveler:HATE_COUNTRY","Just as well.","Just as well."
"traveler:SEARCH_BRIBE_INTRO","Slow down my friend.","Slow down my friend."
"traveler:SEARCH_BRIBE_INTRO","I have only harmless medicine.","I have only harmless medicine."
"traveler:SEARCH_BRIBE_INTRO","I give you 10 credits to let me through.","I give you 10 credits to let me through."
"traveler:SEARCH_BRIBE_INTRO","Excellent.","Excellent."
"traveler:SEARCH_BRIBE_INTRO","As I promised.","As I promised."
"traveler:SEARCH_BRIBE_INTRO","Why you turn down good money?","Why you turn down good money?"
"traveler:SEARCH_BRIBE_INTRO","@You are lucky to escape arrest.","@You are lucky to escape arrest."
"traveler:SEARCH_BRIBE_INTRO","@Do not come back.","@Do not come back."
"traveler:SEARCH_BRIBE_INTRO","@You cannot bribe an officer of Arstotzka.","@You cannot bribe an officer of Arstotzka."
"traveler:SEARCH_BRIBE_INTRO","They must pay well for such obedience, dog.","They must pay well for such obedience, dog."
"traveler:TWO_PASSPORTS","Shit!","Shit!"
"traveler:TWO_PASSPORTS","I make small mistake.","I make small mistake."
"traveler:TWO_PASSPORTS","Please give documents back.","Please give documents back."
"traveler:TWO_PASSPORTS","@Why do you have two passports?","@Why do you have two passports?"
"traveler:TWO_PASSPORTS","Is funny story.","Is funny story."
"traveler:TWO_PASSPORTS","I tell you everything.","I tell you everything."
"traveler:TWO_PASSPORTS","First, you give papers back to me.","First, you give papers back to me."
"traveler:TWO_PASSPORTS","And the others?","And the others?"
"traveler:TWO_PASSPORTS","Last one please.","Last one please."
"traveler:IDSUPPLEMENT_COMPLAIN","This id supplement is total pain.","This id supplement is total pain."
"traveler:IDSUPPLEMENT_COMPLAIN","Was not easy to get and only lasts few days.","Was not easy to get and only lasts few days."
"traveler:IDSUPPLEMENT_COMPLAIN","You Arstotzkans just make it harder and harder.","You Arstotzkans just make it harder and harder."
"traveler:IDSUPPLEMENT_COMPLAIN","Why even have open border?","Why even have open border?"
"traveler:IDSUPPLEMENT_COMPLAIN","Bah.","Bah."
"traveler:IDSUPPLEMENT_COMPLAIN","Would be better to spend money on bribe.","Would be better to spend money on bribe."
"traveler:IDSUPPLEMENT_COMPLAIN","Less trouble and faster.","Less trouble and faster."
"traveler:IDSUPPLEMENT_COMPLAIN","I knew it would not even work.","I knew it would not even work."
"traveler:CRIMINAL_FIRST","@Funny to see you here.","@Funny to see you here."
"traveler:CRIMINAL_FIRST","@Just when starting to look for criminals.","@Just when starting to look for criminals."
"traveler:CRIMINAL_FIRST","Criminals?","Criminals?"
"traveler:CRIMINAL_FIRST","What are you saying?","What are you saying?"
"traveler:DENIAL_REASON_FIRST","Denied?","Denied?"
"traveler:DENIAL_REASON_FIRST","For what reason?","For what reason?"
"traveler:DENIAL_REASON_FIRST","@It is clearly stamped there.","@It is clearly stamped there."
"traveler:DENIAL_REASON_FIRST","Oh.~","Oh.~"
"traveler:DENIAL_REASON_FIRST","Screw you anyways.","Screw you anyways."
"traveler:NO_IMPORIANS_FIRST","@Imporians are prohibited from entering.","@Imporians are prohibited from entering."
"traveler:NO_IMPORIANS_DAY","@Imporians are prohibited from entering.","@Imporians are prohibited from entering."
"traveler:NO_UNITEDFED_FIRST","@Do not bring your sickness to Arstotzka.","@Do not bring your sickness to Arstotzka."
"traveler:NO_UNITEDFED_FIRST","What?","What?"
"traveler:NO_UNITEDFED_FIRST","I am perfectly healthy.","I am perfectly healthy."
"traveler:NO_UNITEDFED_FIRST","It is so easy to deny entry.","It is so easy to deny entry."
"traveler:NO_UNITEDFED_FIRST","All this paperwork is wasted.","All this paperwork is wasted."
"traveler:NO_UNITEDFED","@Do not bring your sickness to Arstotzka.","@Do not bring your sickness to Arstotzka."
"traveler:NO_UNITEDFED","What?","What?"
"traveler:NO_UNITEDFED","I am perfectly healthy.","I am perfectly healthy."
"traveler:NO_UNITEDFED","It is so easy to deny entry.","It is so easy to deny entry."
"traveler:NO_UNITEDFED","All this paperwork is wasted.","All this paperwork is wasted."
"traveler:CONFISCATION_DISTRICT_FIRST","Thank you. It is good to be back home.","Thank you. It is good to be back home."
"traveler:CONFISCATION_DISTRICT_FIRST","I am leaving for trip soon so I just need my passport back.","I am leaving for trip soon so I just need my passport back."
"traveler:CONFISCATION_DISTRICT_FIRST","@It is being confiscated.","@It is being confiscated."
"traveler:CONFISCATION_DISTRICT_FIRST","What do you mean?","What do you mean?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip for recovery.","@Contact number on slip for recovery."
"traveler:CONFISCATION_DISTRICT_FIRST","You can just hand it back.","You can just hand it back."
"traveler:CONFISCATION_DISTRICT_FIRST","@It has been filed. I cannot give it back.","@It has been filed. I cannot give it back."
"traveler:CONFISCATION_DISTRICT_FIRST","I am not leaving without passport.","I am not leaving without passport."
"traveler:CONFISCATION_DISTRICT_FIRST","Where is my passport?","Where is my passport?"
"traveler:CONFISCATION_DISTRICT_FIRST","You deny entry and take passport?","You deny entry and take passport?"
"traveler:CONFISCATION_DISTRICT_FIRST","What am I supposed to do?","What am I supposed to do?"
"traveler:CONFISCATION_DISTRICT_FIRST","@Contact number on slip.","@Contact number on slip."
"traveler:CONFISCATION_DISTRICT_FIRST","You cannot do this to me!","You cannot do this to me!"
"traveler:CONFISCATION_DISTRICT_FIRST","I am Arstotzkan citizen.","I am Arstotzkan citizen."
"traveler:CONFISCATION_DISTRICT_FIRST","I have right to travel freely.","I have right to travel freely."
"traveler:WHISTLEBLOWER","Thank you.","Thank you."
"traveler:WHISTLEBLOWER","I hope that things are better here.","I hope that things are better here."
"traveler:WHISTLEBLOWER","What? I was promised asylum here.","What? I was promised asylum here."
"traveler:WHISTLEBLOWER","I have nowhere else to go.","I have nowhere else to go."
"traveler:WHISTLEBLOWER","@This is not my problem.","@This is not my problem."
"traveler:ACCESSPERMIT_FIRST","You Arstotzkans keep changing rules here.","You Arstotzkans keep changing rules here."
"traveler:ACCESSPERMIT_FIRST","My sister came through last week with different documents.","My sister came through last week with different documents."
"traveler:ACCESSPERMIT_FIRST","Now I need new access permit.","Now I need new access permit."
"traveler:ACCESSPERMIT_FIRST","Costs twice as much as before.","Costs twice as much as before."
"traveler:ACCESSPERMIT_WRONG","What the hell is access permit?","What the hell is access permit?"
"traveler:ACCESSPERMIT_WRONG","Do you mean entry permit?","Do you mean entry permit?"
"traveler:ACCESSPERMIT_WRONG","I have it there.","I have it there."
"traveler:ACCESSPERMIT_WRONG","@I mean access permit.","@I mean access permit."
"traveler:ACCESSPERMIT_WRONG","Never heard of it. Sounds stupid.","Never heard of it. Sounds stupid."
"traveler:ACCESSPERMIT_WRONG","@Entry permit and supplement are no longer accepted.","@Entry permit and supplement are no longer accepted."
"traveler:ACCESSPERMIT_WRONG","@Access permit replaces them.","@Access permit replaces them."
"traveler:ACCESSPERMIT_WRONG","@Makes my job easier.","@Makes my job easier."
"traveler:ACCESSPERMIT_WRONG","I do not care about your job.","I do not care about your job."
"traveler:ACCESSPERMIT_WRONG","Damnit.","Damnit."
"traveler:STRICT_BORDER","I've heard this is very strict checkpoint.","I've heard this is very strict checkpoint."
"traveler:STRICT_BORDER","I am glad my papers are in order.","I am glad my papers are in order."
"traveler:DESPERATE_BEFORECLOSE","I have heard the border will close.","I have heard the border will close."
"traveler:DESPERATE_BEFORECLOSE","My access permit will not arrive in time.","My access permit will not arrive in time."
"traveler:DESPERATE_BEFORECLOSE","Please have mercy.","Please have mercy."
"traveler:DESPERATE_BEFORECLOSE","Yes I know. I just told you that.","Yes I know. I just told you that."
"traveler:DESPERATE_BEFORECLOSE","I am afraid the border will close before I can enter.","I am afraid the border will close before I can enter."
"traveler:WALLCOMMENT_PLAQUEONE","What is this plaque on the wall?","What is this plaque on the wall?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for presence?","You are recognized for presence?"
"traveler:WALLCOMMENT_PLAQUEONE","Way to go.","Way to go."
"traveler:WALLCOMMENT_PLAQUEONE","What is this on the wall?","What is this on the wall?"
"traveler:WALLCOMMENT_PLAQUEONE","Recognized for sufficience?","Recognized for sufficience?"
"traveler:WALLCOMMENT_PLAQUEONE","Impressive. Why even bother with plaque?","Impressive. Why even bother with plaque?"
"traveler:WALLCOMMENT_PLAQUEONE","You are recognized for excellence?","You are recognized for excellence?"
"traveler:WALLCOMMENT_PLAQUEONE","I hope they give you raise and not just plaque.","I hope they give you raise and not just plaque."
"traveler:WALLCOMMENT_PLAQUEONE","Find a better plaque.","Find a better plaque."
"traveler:WALLCOMMENT_PLAQUEONE","This one looks like cheap shit.","This one looks like cheap shit."
"traveler:WALLCOMMENT_PLAQUEONE","Figures.","Figures."
